vcmd,frequency_hz,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VNX_mag,VNX_db,input_current_mag,input_impedance_mag
1,50,0.0035548543067985736,-48.983563876462235,88.68143050296968,0.003554340392774523,-48.98481965878155,0.9999922000890122,-0.00006774943024652236,3.1413506448419513e-7,3183344.0868563475
1,100,0.007107928574344539,-42.965138899056406,88.8839600298973,0.007107671538082107,-42.96545300308171,0.9999688048987688,-0.0002709614328988822,6.282435232560952e-7,1591739.4497234842
1,200,0.014212710458487574,-36.94646182651253,88.52887861674252,0.014212581950843168,-36.94654036243054,0.9998752582767302,-0.0010835604255862036,0.000001256274305662634,796004.4995686992
1,500,0.03548922541832752,-28.998069587698573,86.85722301045676,0.03548917407481731,-28.99808215388959,0.9992219575212571,-0.0067606214706089005,0.0000031369703897710556,318778.90950477944
1,1000,0.0706804867502583,-23.014009366603897,83.88367071817673,0.070680461186129,-23.01401250816752,0.9969103216106581,-0.02687814934043603,0.000006247616090612583,160061.05136686613
1,2000,0.13905121085981473,-17.136504498823296,77.9764224096455,0.13905119828658466,-17.13650528421519,0.9879881776743032,-0.10496504350112856,0.00001229107317421966,81359.86059357981
1,5000,0.3138443231403339,-10.065714450421527,62.00770154374916,0.3138443185998043,-10.065714576084275,0.9372048266101682,-0.563309669005451,0.000027741463590702804,36047.12479319718
1,10000,0.48711688191867236,-6.247336378095508,43.255996224817736,0.4871168801568365,-6.247336409511195,0.8408040289566563,-1.5061043185341663,0.00004305744768725313,23224.785808566245
1,20000,0.6052432360673384,-4.361401106871064,25.19609669274166,0.6052432355200676,-4.361401114724987,0.739992565060658,-2.615452874822384,0.000053498924135109374,18691.964673430448
1.5,20,0.000650459825633304,-63.735590432303525,80.87539371594372,0.0006448766069577378,-63.8104675381158,0.9999993004444239,-0.000006076264655331662,1.2565073857610675e-7,7958568.420147401
1.5,50,0.00160013288225209,-55.91687900147514,86.13277282286666,0.0015978636049191778,-55.92920590418387,0.9999956437631187,-0.00003783787520394344,3.141252754632696e-7,3183443.2887490746
1.5,100,0.0031926752825682052,-49.916905000085364,87.77401456133576,0.0031915380248065174,-49.91999953813945,0.9999825846926462,-0.00015126875488761783,6.282399239145792e-7,1591748.5691914868
1.5,200,0.006381143187586514,-43.90203020117073,88.30998658518254,0.00638057426598239,-43.902804640863096,0.9999303555276446,-0.0006049452665713732,0.000001256395029125871,795928.0137360491
1.5,500,0.015942682638145536,-35.948771981360856,87.71030164726209,0.01594245513983777,-35.948895927834464,0.9995650695545336,-0.0037785796187912897,0.0000031395046558249896,318521.58529041044
1.5,1000,0.03183099656069204,-29.942995286622143,85.97779223404743,0.031830883000158225,-29.9430262745311,0.9982650049946667,-0.015083063445672335,0.000006268451296586002,159529.03718732437
1.5,2000,0.0632380585890679,-23.98042942786332,82.26616636388383,0.06323800218624637,-23.980437174921224,0.9931344414268197,-0.059839134469636325,0.000012453491291015724,80298.76736023626
