scenario,drive_v,cmd_v,sag_v,source_ohm,source_current_ua,iterations,diode,vd_v,raw_vd_v,id_ua,gd_us,rd_kohm,in_stated_range,left_path_v,right_path_v
b11_s7_detector_r31_51k,0.5,0.4377561006080548,0.062243899248213996,51000,1.2204686127100783,51,D2_SSD55,0.20510751002308195,0.20510751002308195,0.08030260332307532,2.4890049145886515,401.76698492588804,false,0.4102149349450327,0.4102149349450327
b11_s7_detector_r31_51k,0.5,0.4377561006080548,0.062243899248213996,51000,1.2204686127100783,51,D1_OA154Q,0.20510742492195078,0.20510742492195078,0.08030239508365815,2.4889994928516748,401.76786008674065,false,0.4102149349450327,0.4102149349450327
b11_s7_detector_r31_51k,1,0.7776761445924518,0.22232385526381693,51000,4.359291279682685,51,D3_SSD55,0.32000434204931927,0.32000434204931927,1.2944016410934303,25.715257373287557,38.8874194601209,false,0.64000866944388,0.64000866944388
b11_s7_detector_r31_51k,1,0.7776761445924518,0.22232385526381693,51000,4.359291279682685,51,D4_OA154Q,0.32000432739456075,0.32000432739456075,1.2944012706074175,25.715251190662162,38.88742880968336,false,0.64000866944388,0.64000866944388
b11_s7_detector_r31_51k,1,0.7776761445924518,0.22232385526381693,51000,4.359291279682685,51,D2_SSD55,0.32000434204931927,0.32000434204931927,1.2944016410934303,25.715257373287557,38.8874194601209,false,0.64000866944388,0.64000866944388
b11_s7_detector_r31_51k,1,0.7776761445924518,0.22232385526381693,51000,4.359291279682685,51,D1_OA154Q,0.32000432739456075,0.32000432739456075,1.2944012706074175,25.715251190662162,38.88742880968336,false,0.64000866944388,0.64000866944388
b11_s7_detector_r31_51k,2,1.2993880953853643,0.7006119044931829,51000,13.737488323395743,53,D3_SSD55,0.4039946272419982,0.4039946272419982,5.555105278394208,87.41669766869329,11.439462101279215,true,0.8079892472621968,0.8079892472621968
b11_s7_detector_r31_51k,2,1.2993880953853643,0.7006119044931829,51000,13.737488323395743,53,D4_OA154Q,0.4039946200201986,0.4039946200201986,5.555104657750815,87.41668946473338,11.43946317486012,true,0.8079892472621968,0.8079892472621968
b11_s7_detector_r31_51k,2,1.2993880953853643,0.7006119044931829,51000,13.737488323395743,53,D2_SSD55,0.4039946272419982,0.4039946272419982,5.555105278394208,87.41669766869329,11.439462101279215,true,0.8079892472621968,0.8079892472621968
b11_s7_detector_r31_51k,2,1.2993880953853643,0.7006119044931829,51000,13.737488323395743,53,D1_OA154Q,0.4039946200201986,0.4039946200201986,5.555104657750815,87.41668946473338,11.43946317486012,true,0.8079892472621968,0.8079892472621968
b11_s7_detector_r31_51k,3,1.775808805945244,1.224191193933303,51000,24.003748900652997,53,D3_SSD55,0.446223727381146,0.446223727381146,10.340677234794335,147.324173945943,6.787752296285914,true,0.8924474488969631,0.8924474488969634
b11_s7_detector_r31_51k,3,1.775808805945244,1.224191193933303,51000,24.003748900652997,53,D4_OA154Q,0.4462237215158172,0.4462237215158172,10.34067638528395,147.32416377940675,6.787752764694679,true,0.8924474488969631,0.8924474488969634
b11_s7_detector_r31_51k,3,1.775808805945244,1.224191193933303,51000,24.003748900652997,53,D2_SSD55,0.446223727381146,0.446223727381146,10.340677234794335,147.324173945943,6.787752296285914,true,0.8924474488969631,0.8924474488969634
b11_s7_detector_r31_51k,3,1.775808805945244,1.224191193933303,51000,24.003748900652997,53,D1_OA154Q,0.4462237215158173,0.4462237215158173,10.340676385283967,147.32416377940694,6.787752764694671,true,0.8924474488969631,0.8924474488969634
b11_s7_detector_r31_51k,5,2.6923436287199616,2.3076563711221496,51000,45.24816413964999,54,D3_SSD55,0.4972051089324401,0.4972051089324401,20.332568805506124,259.9766599028727,3.8464991448601578,true,0.9944102128169651,0.9944102128169651
b11_s7_detector_r31_51k,5,2.6923436287199616,2.3076563711221496,51000,45.24816413964999,54,D4_OA154Q,0.497205103884525,0.497205103884525,20.33256751533085,259.9766460458442,3.8464993498826057,true,0.9944102128169651,0.9944102128169651
