scenario,drive_v,cmd_dc_v,source_ohm,frequency_hz,bjt_stamp_mode,all_diodes_in_range,any_diode_out_of_range,max_residual,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VCMD_mag,input_impedance_ohm
rsource_51k,3,1.7758088059309642,51000,1000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.521189079227211,-5.660093857694417,1.0521067787837137,0.521187326976914,-5.6601230599146675,0.37437399543412136,11701.366393703898
rsource_51k,3,1.7758088059309642,51000,5000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.5213043424149009,-5.658173148535201,0.2104593577984815,0.5213042723083057,-5.658174316640165,0.3744579984186421,11698.68496771103
rsource_51k,3,1.7758088059309642,51000,15000,NONE_GUARDED,true,false,1.5788881313483216e-10,0.5213086129623385,-5.658101993647769,0.07015358850691922,0.5213086051726484,-5.658102123437279,0.37446111075781785,11698.585643820545
rsource_51k,8,4.035012793117151,51000,40,NONE_GUARDED,true,false,1.6676970915341371e-10,0.23407009952664057,-12.613081204064256,25.186278618446405,0.23046250111497,-12.747994584115517,0.1655434867163869,10194.728825929362
rsource_51k,8,4.035012793117151,51000,100,NONE_GUARDED,true,false,1.6676970915341371e-10,0.2788786094991896,-11.091695912795135,12.335798051308858,0.2781544916560565,-11.114278453043699,0.19980111372477302,8314.341937209061
rsource_51k,8,4.035012793117151,51000,1000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.2915019527398501,-10.707170632075265,1.2926975433887498,0.29149430739238813,-10.707398443637171,0.20938323488749006,7909.775847579532
rsource_51k,8,4.035012793117151,51000,5000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.291634379573218,-10.703225603045901,0.2586616240633154,0.29163407359043597,-10.70323471628582,0.20948363032552447,7905.751367315815
rsource_51k,8,4.035012793117151,51000,15000,NONE_GUARDED,true,false,1.6676970915341371e-10,0.2916392882948595,-10.703079405414183,0.08622204990754742,0.29163925429607707,-10.703080417999598,0.20948735167746382,7905.602273123148
rsource_100k,0,0,100000,40,NONE_GUARDED,false,true,0,0.9406825286747594,-0.5311384412958502,3.4322541795241017,0.9406807016876282,-0.5311553109872911,0.7839005847396902,97551.3736914559
rsource_100k,0,0,100000,100,NONE_GUARDED,false,true,0,0.9421953074772648,-0.517181261174658,1.374423544779651,0.94219501468851,-0.5171839603296914,0.7851625122404251,97394.58734560145
rsource_100k,0,0,100000,1000,NONE_GUARDED,false,true,0,0.9424813941997259,-0.5145442914332825,0.13747111860288447,0.9424813912709478,-0.5145443184248428,0.7854011593924567,97364.9936270088
rsource_100k,0,0,100000,5000,NONE_GUARDED,false,true,0,0.942484169651642,-0.5145187129617167,0.027494279554399904,0.9424841695344907,-0.5145187140413775,0.7854034746120758,97364.70661358112
rsource_100k,0,0,100000,15000,NONE_GUARDED,false,true,0,0.9424842724466214,-0.5145177656080883,0.009164760436922477,0.9424842724336044,-0.5145177657280515,0.7854035603613373,97364.69598343867
rsource_100k,1,0.6842063481561843,100000,40,NONE_GUARDED,false,true,1.21452847778869e-10,0.856142888000207,-1.3490749332960836,7.917691258567568,0.8561135069995043,-1.3493730196461535,0.7134279224995871,42095.58258211267
