scenario,mode,s7Position,s7Closed,zenerPath,zenerFraction,zenerVolt,diodeDropVolt,rectifierDropVolt,seriesOhm,thresholdPeakVolt,thresholdRmsVolt,ueRms,peakVolt,conductionDuty,averageExcessVolt,averageCurrentAmp,peakCurrentAmp,c11SlopeVoltPerSecond
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,14.75,20.859650045003153,0.6355498803624846,3.9806656848386566,0.00007805226833016973,0.00018744411852947358,0.15610453666033947
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,15,21.213203435596427,0.6423645293808702,4.170511885703545,0.00008177474285693225,0.0001943765379528711,0.1635494857138645
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,15.25,21.5667568261897,0.648912338261136,4.3616163132103605,0.0000855218884943208,0.0002013089573762686,0.1710437769886416
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,15.5,21.920310216782976,0.6552097130848262,4.553910437621426,0.00008929236152198875,0.0002082413767996662,0.1785847230439775
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,15.75,22.27386360737625,0.6612716579295692,4.747330801049714,0.00009308491766764145,0.0002151737962230637,0.1861698353352829
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,16,22.627416997969522,0.6671119298360018,4.941818538555572,0.00009689840271677592,0.0002221062156464612,0.19379680543355185
limiter_high_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.7,1.4,51000,12.1,8.555992052357224,0,0,0,0,0,0,0
limiter_high_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.7,1.4,51000,12.1,8.555992052357224,0.25,0.3535533905932738,0,0,0,0,0
limiter_high_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.7,1.4,51000,12.1,8.555992052357224,0.5,0.7071067811865476,0,0,0,0,0
limiter_high_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.7,1.4,51000,12.1,8.555992052357224,0.75,1.0606601717798214,0,0,0,0,0
