scenario,vcmd,frequency_hz,command_model,zcmd_ohm,c4_f,c6_f,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,VCMD_NODE_db,input_impedance_mag
cmd_100k_c4c6_100p,1,20000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.760267106705247,-2.380675981016739,0.7602671062978176,-2.3806759856715334,0.6335559219148481,-3.964300906624029,28149.93107025829
cmd_100k_c4c6_100p,2,100,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.0022217876020221485,-53.06594922004284,0.0022193099853884783,-53.075640656204534,0.0018494249878237329,-54.65926557715703,1591804.479141603
cmd_100k_c4c6_100p,2,1000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.022125609814809384,-33.102095013229196,0.02212536194228095,-33.10219232152959,0.018437801618567465,-34.68581724248209,159439.31608966365
cmd_100k_c4c6_100p,2,10000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.1922494944181098,-14.322695872841553,0.19224947287946284,-14.322696845964117,0.16020789406621908,-15.906321766916612,18349.085338836725
cmd_100k_c4c6_100p,2,20000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.2912916589983654,-10.713439020309446,0.2912916508396568,-10.71343926359016,0.24274304236638072,-12.297064184542656,12110.204981044086
cmd_100k_c4c6_100p,3,100,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.0011426529731860418,-58.84171291989584,0.0011376728114009776,-58.879652414955885,0.0009480606761674818,-60.46327733590837,1591801.6999542231
cmd_100k_c4c6_100p,3,1000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.011308964487928317,-38.931543193740865,0.011308463407821179,-38.93192805859209,0.00942371950651765,-40.51555297954459,159350.45526762592
cmd_100k_c4c6_100p,3,10000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.1026462297265452,-19.773139959287747,0.10264618423826728,-19.77314380849147,0.08553848686522275,-21.356768729443964,17554.66279302539
cmd_100k_c4c6_100p,3,20000,finite command impedance 100000 Ohm,100000,1e-10,1e-10,0.1657867660312399,-15.609002801287337,0.16578674766387264,-15.609003763589321,0.13815562305322723,-17.192628684541816,10868.89330762259
cmd_100k_c4c6_1n,0,100,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.05754704768001418,-24.799539039004436,0.057547029797028665,-24.799541738181347,0.04795585816419057,-26.383166659133845,1594597.0284200038
cmd_100k_c4c6_1n,0,1000,finite command impedance 100000 Ohm,100000,1e-9,1e-9,0.4918207182060022,-6.1638636065771655,0.4918207166776481,-6.163863633568942,0.4098505972313734,-7.747488554521439,186580.84053194517
