scenario,drive_v,cmd_dc_v,sag_v,source_ohm,source_current_ua,frequency_hz,command_model,all_diodes_in_range,any_diode_out_of_range,left_path_v,right_path_v,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,input_impedance_mag
b11_s6_s7_delivery_linear_r3k,8,7.507203849958656,0.49279614988740317,3000,164.26538329580106,1000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.2298161596493005,1.2298161596493005,0.17535704961741896,-15.121535402789226,0.17534031016811952,-15.122364590721613,0.022870475239319944,6796.430852204392
b11_s6_s7_delivery_linear_r3k,8,7.507203849958656,0.49279614988740317,3000,164.26538329580106,5000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.2298161596493005,1.2298161596493005,0.1754445003095701,-15.117204822854845,0.17544383017441,-15.117237999905988,0.022883977848836095,6791.762615987063
b11_s6_s7_delivery_linear_r3k,8,7.507203849958656,0.49279614988740317,3000,164.26538329580106,15000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.2298161596493005,1.2298161596493005,0.17544774300345437,-15.117044285357956,0.17544766854169677,-15.117047971736216,0.022884478505438722,6791.589656674785
b11_s6_s7_delivery_linear_r3k,8,7.507203849958656,0.49279614988740317,3000,164.26538329580106,20000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.2298161596493005,1.2298161596493005,0.17544792034607123,-15.117035505663253,0.17544787846126195,-15.117037579252235,0.022884505886251565,6791.580197835259
b11_s6_s7_delivery_linear_r3k,12,11.224984311533941,0.7750156883326422,3000,258.33856277754745,40,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.3235219450816587,1.3235219450816595,0.1117835699833774,-19.03244049248361,0.10193358986049343,-19.833653613837157,0.013295685633977405,9096.180506901515
b11_s6_s7_delivery_linear_r3k,12,11.224984311533941,0.7750156883326422,3000,258.33856277754745,100,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.3235219450816587,1.3235219450816595,0.12402551170095255,-18.12977944976351,0.1216554203132956,-18.297370729367305,0.01586809830173421,6921.981533524028
b11_s6_s7_delivery_linear_r3k,12,11.224984311533941,0.7750156883326422,3000,258.33856277754745,1000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.3235219450816587,1.3235219450816595,0.128336235693857,-17.833014068133867,0.12830993731445434,-17.83479414394231,0.01673607878014622,6430.023324401286
b11_s6_s7_delivery_linear_r3k,12,11.224984311533941,0.7750156883326422,3000,258.33856277754745,5000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.3235219450816587,1.3235219450816595,0.1283839197433152,-17.829787376445807,0.12838286667773774,-17.829858622509327,0.016745591305791882,6425.068257891774
b11_s6_s7_delivery_linear_r3k,12,11.224984311533941,0.7750156883326422,3000,258.33856277754745,15000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.3235219450816587,1.3235219450816595,0.12838568830138083,-17.829667724433303,0.1283855712894369,-17.82967564083978,0.016745944081230903,6424.88466346173
b11_s6_s7_delivery_linear_r3k,12,11.224984311533941,0.7750156883326422,3000,258.33856277754745,20000,B11/S6/S7 finite small-signal output impedance 3000 Ohm,true,false,1.3235219450816587,1.3235219450816595,0.12838578502452058,-17.829661180664974,0.12838571920515884,-17.829665633649068,0.016745963374585938,6424.874622989919
b11_s6_s7_delivery_linear_r10k,0,0,0,10000,0,40,B11/S6/S7 finite small-signal output impedance 10000 Ohm,false,true,0,0,0.8194275234979047,-1.7297890550943729,0.8194102544405811,-1.7299721081434187,0.2731367514801937,33996.57457480459
b11_s6_s7_delivery_linear_r10k,0,0,0,10000,0,100,B11/S6/S7 finite small-signal output impedance 10000 Ohm,false,true,0,0,0.8304676696201557,-1.6135454022136655,0.8304648692700652,-1.613574691220009,0.2768216230900217,33544.03401426689
