scenario,vcmd,frequency_hz,command_model,zcmd_ohm,all_diodes_in_range,any_diode_out_of_range,left_path_v,right_path_v,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,input_impedance_mag
empirical_cmd_10k_c4c6_0,1.25,1000,finite command impedance 10000 Ohm,10000,true,false,0.7967840836635122,0.7967840836635122,0.05342549358664332,-25.44502913584115,0.05342543121933054,-25.445039275493137,0.017808477073110177,159796.90865007328
empirical_cmd_10k_c4c6_0,1.25,5000,finite command impedance 10000 Ohm,10000,true,false,0.7967840836635122,0.7967840836635122,0.2450966180853907,-12.213253624569713,0.24509660664058533,-12.213254030158005,0.08169886888019508,34831.99974258394
empirical_cmd_10k_c4c6_0,1.25,15000,finite command impedance 10000 Ohm,10000,true,false,0.7967840836635122,0.7967840836635122,0.48296704431806403,-6.32165005408417,0.48296704181226535,-6.3216500991495455,0.16098901393742177,17676.577672452397
empirical_cmd_10k_c4c6_0,1.25,20000,finite command impedance 10000 Ohm,10000,true,false,0.7967840836635122,0.7967840836635122,0.526228002200379,-5.576520909972768,0.5262280006646127,-5.576520935322039,0.1754093335548709,16223.394401418484
empirical_cmd_10k_c4c6_0,1.5,40,finite command impedance 10000 Ohm,10000,true,false,0.8479755138138727,0.8479755138138727,0.0016971015050799086,-55.40584362768609,0.001694855010665798,-55.41734896704759,0.0005649516702219325,3979316.7235862394
empirical_cmd_10k_c4c6_0,1.5,100,finite command impedance 10000 Ohm,10000,true,false,0.8479755138138727,0.8479755138138727,0.004231355900257101,-47.47040889059786,0.004230454819234883,-47.47225877606635,0.0014101516064116272,1591766.9065105815
empirical_cmd_10k_c4c6_0,1.5,1000,finite command impedance 10000 Ohm,10000,true,false,0.8479755138138727,0.8479755138138727,0.04216711895432254,-27.50052141815822,0.04216702906541633,-27.500539934148183,0.01405567635513877,159648.90978175265
empirical_cmd_10k_c4c6_0,1.5,5000,finite command impedance 10000 Ohm,10000,true,false,0.8479755138138727,0.8479755138138727,0.19718820329816963,-14.102381402070032,0.19718818648392225,-14.10238214271628,0.06572939549464073,34139.47434954825
empirical_cmd_10k_c4c6_0,1.5,15000,finite command impedance 10000 Ohm,10000,true,false,0.8479755138138727,0.8479755138138727,0.41378814730416524,-7.664439071574862,0.4137881433837487,-7.664439153868919,0.13792938112791625,16268.954129307293
empirical_cmd_10k_c4c6_0,1.5,20000,finite command impedance 10000 Ohm,10000,true,false,0.8479755138138727,0.8479755138138727,0.4586693247971427,-6.770006078842956,0.45866932235271957,-6.770006125133362,0.15288977411757318,14677.023199574076
empirical_cmd_10k_c4c6_0,2,40,finite command impedance 10000 Ohm,10000,true,false,0.9224958807992503,0.9224958807992502,0.001198274859491821,-58.428871046796445,0.00119463114254571,-58.45532335850483,0.00039821038084857004,3979359.1589544816
empirical_cmd_10k_c4c6_0,2,100,finite command impedance 10000 Ohm,10000,true,false,0.9224958807992503,0.9224958807992502,0.002978006463689931,-50.521487279146136,0.0029765411393973635,-50.52576221191838,0.0009921803797991212,1591771.9618891233
empirical_cmd_10k_c4c6_0,2,1000,finite command impedance 10000 Ohm,10000,true,false,0.9224958807992503,0.9224958807992502,0.029684793017351392,-30.549319498501436,0.02968464664040344,-30.549362329089796,0.009894882213467817,159509.0070055687
empirical_cmd_10k_c4c6_0,2,5000,finite command impedance 10000 Ohm,10000,true,false,0.9224958807992503,0.9224958807992502,0.14146676546095904,-16.98691152395407,0.14146673755723865,-16.986913237209187,0.04715557918574622,33470.33673511612
empirical_cmd_10k_c4c6_0,2,15000,finite command impedance 10000 Ohm,10000,true,false,0.9224958807992503,0.9224958807992502,0.31965346219397256,-9.906411746479723,0.3196534551883791,-9.906411936841534,0.1065511517294597,14812.723547251051
empirical_cmd_10k_c4c6_0,2,20000,finite command impedance 10000 Ohm,10000,true,false,0.9224958807992503,0.9224958807992502,0.3629912362322325,-8.802077201863254,0.36299123175732373,-8.802077308941774,0.12099707725244122,13044.221979222573
empirical_cmd_10k_c4c6_0,3,40,finite command impedance 10000 Ohm,10000,true,false,1.0197909874512647,1.0197909874512645,0.0007694658575844677,-62.276212914743034,0.0007631036704089521,-62.348329151043835,0.00025436789013631733,3979400.2068483145
empirical_cmd_10k_c4c6_0,3,100,finite command impedance 10000 Ohm,10000,true,false,1.0197909874512647,1.0197909874512645,0.0018942034561846568,-54.45146750609765,0.0018916258762066568,-54.463295075021634,0.0006305419587355522,1591779.76601463
empirical_cmd_10k_c4c6_0,3,1000,finite command impedance 10000 Ohm,10000,true,false,1.0197909874512647,1.0197909874512645,0.018858678610093146,-34.48977481357461,0.01885842059369223,-34.48989365102663,0.00628614019789741,159408.13658332007
empirical_cmd_10k_c4c6_0,3,5000,finite command impedance 10000 Ohm,10000,true,false,1.0197909874512647,1.0197909874512645,0.09115623357282164,-20.804272549239254,0.0911561836837669,-20.804277302956308,0.030385394561255635,32977.88838671216
empirical_cmd_10k_c4c6_0,3,15000,finite command impedance 10000 Ohm,10000,true,false,1.0197909874512647,1.0197909874512645,0.22002238139840763,-13.150662781426075,0.2200223680187777,-13.15066330961776,0.07334078933959255,13662.868593356263
empirical_cmd_10k_c4c6_0,3,20000,finite command impedance 10000 Ohm,10000,true,false,1.0197909874512647,1.0197909874512645,0.2564501892728336,-11.819939521349081,0.2564501805007484,-11.819939818456934,0.08548339350024946,11722.107585563566
empirical_cmd_100k_c4c6_0,0,40,finite command impedance 100000 Ohm,100000,false,true,0,0,0.02305507872273292,-32.74466781043115,0.02305503394531774,-32.74468468012259,0.019212528287764784,3980245.480111585
empirical_cmd_100k_c4c6_0,0,100,finite command impedance 100000 Ohm,100000,false,true,0,0,0.057547280114210765,-24.79950395651482,0.057547262231298,-24.799506655669852,0.047956051859415004,1594597.0511306531
empirical_cmd_100k_c4c6_0,0,1000,finite command impedance 100000 Ohm,100000,false,true,0,0,0.49182220006205724,-6.1638374360270305,0.4918221985337109,-6.163837463018589,0.40985183211142584,186581.03462643913
empirical_cmd_100k_c4c6_0,0,5000,finite command impedance 100000 Ohm,100000,false,true,0,0,0.895822369256451,-0.9555619429092941,0.8958223691450996,-0.9555619439889564,0.7465186409542497,102436.26171362869
empirical_cmd_100k_c4c6_0,0,15000,finite command impedance 100000 Ohm,100000,false,true,0,0,0.9369368689763778,-0.5657934197870709,0.9369368689634374,-0.5657934199070354,0.7807807241361981,97941.17159269475
empirical_cmd_100k_c4c6_0,0,20000,finite command impedance 100000 Ohm,100000,false,true,0,0,0.9393517824204605,-0.5434347243618503,0.9393517824131629,-0.5434347244293289,0.7827931520109694,97689.38152108467
empirical_cmd_100k_c4c6_0,0.25,40,finite command impedance 100000 Ohm,100000,false,true,0.23760106789932262,0.23760106789932262,0.022759609855564727,-32.85670373747924,0.02275956446129539,-32.85672106159022,0.01896630371774616,3980216.939303496
empirical_cmd_100k_c4c6_0,0.25,100,finite command impedance 100000 Ohm,100000,false,true,0.23760106789932262,0.23760106789932262,0.05681189942513251,-24.911213809222,0.05681188129517671,-24.911216581085327,0.04734323441264726,1594525.663698418
empirical_cmd_100k_c4c6_0,0.25,1000,finite command impedance 100000 Ohm,100000,false,true,0.23760106789932262,0.23760106789932262,0.48711161020700766,-6.247430379669253,0.4871116086525243,-6.247430407387893,0.4059263405437703,185969.7056672426
empirical_cmd_100k_c4c6_0,0.25,5000,finite command impedance 100000 Ohm,100000,false,true,0.23760106789932262,0.23760106789932262,0.8940915442671307,-0.9723602474671901,0.8940915441530006,-0.9723602485759368,0.7450762867941674,101318.48699195827
empirical_cmd_100k_c4c6_0,0.25,15000,finite command impedance 100000 Ohm,100000,false,true,0.23760106789932262,0.23760106789932262,0.9361021834181248,-0.5735348356557082,0.9361021834048479,-0.5735348357789019,0.7800851528373735,96771.48936487708
empirical_cmd_100k_c4c6_0,0.25,20000,finite command impedance 100000 Ohm,100000,false,true,0.23760106789932262,0.23760106789932262,0.93857385705683,-0.5506309350100277,0.9385738570493423,-0.5506309350793224,0.782144880874452,96516.6478965982
empirical_cmd_100k_c4c6_0,0.5,40,finite command impedance 100000 Ohm,100000,false,true,0.462512127064028,0.462512127064028,0.016138088168607935,-35.8429583228904,0.01613799721671474,-35.84300727542582,0.013448331013928954,3979705.1297645955
